school,url
A.T. Still University of Health Sciences,http://www.atsu.edu/
Abilene Christian University,http://www.acu.edu/
Abraham Baldwin Agricultural College,http://www.abac.edu/
Academy of Art University,http://www.academyart.edu/
Adams State College,http://www.adams.edu/
Adelphi University,http://www.adelphi.edu/
Adler Graduate School,http://www.alfredadler.edu/
Adler University,http://www.adler.edu/
Adrian College,http://adrian.edu/
Adventist University of Health Sciences,http://www.adu.edu/
Agnes Scott College,http://www.agnesscott.edu/
AIB College of Business,http://www.aib.edu/
Air Force Institute of Technology,http://www.afit.edu/
Air University,http://www.maxwell.af.mil/units/au/
Alabama A&M University,http://www.aamu.edu/
Alabama State University,http://www.alasu.edu/
Alaska Bible College,http://www.akbible.edu/
Alaska Pacific University,http://www.alaskapacific.edu/
Albany College of Pharmacy & Health Sciences,http://www.acphs.edu/
Albany Medical College,http://www.amc.edu/
Albany State University,http://www.asurams.edu/
Albertus Magnus College,http://www.albertus.edu/
Albion College,http://www.albion.edu/
Albright College,http://www.albright.edu/
Alcorn State University,http://www.alcorn.edu/
Alderson-Broaddus College,http://www.ab.edu/
Alfred University,http://www.alfred.edu/
Alice Lloyd College,http://www.alc.edu/
Allegheny College,http://allegheny.edu/
Allen College,http://www.allencollege.edu/
Allen University,http://www.allenuniversity.edu/
Alliant International University,http://www.alliant.edu/
Alma College,http://www.alma.edu/
Alvernia University,http://www.alvernia.edu/
Alverno College,http://www.alverno.edu/
Ambassador University,http://www.ambassador.edu/
Amberton University,http://www.amberton.edu/
American Academy of Art,http://www.aaart.edu/
American College of Acupuncture & Oriental Medicine,http://www.acaom.edu/
American College of Education,http://www.ace.edu/
The American College of Financial Services,http://www.theamericancollege.edu/
American Conservatory Theater,http://www.act-sf.org/
American Film Institute,http://www.afi.com/
American Indian College of the Assemblies of God,http://www.aicag.edu/
American InterContinental University,http://www.aiuniv.edu/
American International College,http://www.aic.edu/
American Jewish University,http://www.aju.edu/
American Military University,http://www.amu.apus.edu/
American Public University,http://www.apu.apus.edu/
American University,http://www.american.edu/
American University of Puerto Rico,http://www.aupr.edu/
Amherst College,http://www.amherst.edu/
Amridge University,http://amridgeuniversity.edu/
Anabaptist Mennonite Biblical Seminary,http://www.ambs.edu/
Anderson University,http://www.andersonuniversity.edu/
Anderson University,http://www.anderson.edu/
Andover Newton Theological School,http://www.ants.edu/
Andrews University,http://www.andrews.edu/
Angelo State University,http://www.angelo.edu/
Anna Maria College,http://www.annamaria.edu/
Antioch College,http://www.antiochcollege.org/
Antioch University–Midwest,http://www.antiochmidwest.edu/
Antioch University–New England,http://www.antiochne.edu/
Antioch University–Los Angeles,http://www.antiochla.edu/
Antioch University–Santa Barbara,http://www.antiochsb.edu/
Antioch University–Seattle,http://www.antiochseattle.edu/
AOMA Graduate School of Integrative Medicine,http://aoma.edu/
Appalachian Bible College,http://www.abc.edu/
Appalachian State University,http://www.appstate.edu/
Aquinas College,http://www.aquinas.edu/
Aquinas College,http://www.aquinascollege.edu/
Aquinas Institute of Theology,http://www.ai.edu/
Arcadia University,https://www.arcadia.edu/
Argosy University,https://www.argosy.edu/
Arizona Christian University,http://arizonachristian.edu/
Arizona State University,http://www.asu.edu/
Arizona State University–Downtown Phoenix Campus,https://campus.asu.edu/downtown/
